VendorID,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,1,2.13,1,N,142,164,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5
2,1,2,1,N,238,143,2,8,0.5,0.5,0,0,0.3,11.8,2.5
1,1,4.6,1,N,137,75,2,14,3,0.5,0,0,0.3,17.8,2.5
1,1,8.3,1,N,79,168,2,24.5,3,0.5,0,0,0.3,28.3,2.5
2,1,1.44,1,N,162,48,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,1,3.72,1,N,233,74,2,11.5,0.5,0.5,0,0,0.3,15.3,2.5
2,1,5.05,1,N,90,43,2,15.5,0.5,0.5,0,0,0.3,19.3,2.5
2,1,8.04,1,N,262,65,1,23,0.5,0.5,8.21,0,0.3,35.01,2.5
2,1,0.85,1,N,229,237,1,5.5,0.5,0.5,2.79,0,0.3,12.09,2.5
2,2,3.54,1,N,262,137,1,12,0.5,0.5,3.16,0,0.3,20.91,2.5
1,1,1,1,N,137,229,2,5,3,0.5,0,0,0.3,8.8,2.5
1,1,3,1,N,263,166,1,11.5,3,0.5,3.05,0,0.3,18.35,2.5
2,1,1.8,1,N,48,90,1,7,0.5,0.5,1.5,0,0.3,12.3,2.5
2,1,0.64,1,N,233,229,2,4,0.5,0.5,0,0,0.3,7.8,2.5
2,1,1.74,1,N,263,151,2,8,0.5,0.5,0,0,0.3,11.8,2.5
2,5,1.9,1,N,262,74,2,7.5,0.5,0.5,0,0,0.3,8.8,0
2,1,1.38,1,N,186,246,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,1,0.12,1,N,85,85,2,2.5,0.5,0.5,0,0,0.3,3.8,0
2,1,0,1,N,50,50,2,52,0,0.5,0,0,0.3,55.3,2.5
2,1,5.12,1,N,48,116,2,16,0.5,0.5,0,0,0.3,19.8,2.5
2,1,4.3,1,N,116,142,2,14.5,0.5,0.5,0,0,0.3,18.3,2.5
2,1,1.41,1,N,186,48,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5
2,1,1.23,1,N,239,142,2,7,0.5,0.5,0,0,0.3,10.8,2.5
1,1,0,1,N,246,225,1,26.2,0,0.5,0,0,0.3,27,0
2,1,0.68,1,N,68,48,2,5.5,0.5,0.5,0,0,0.3,9.3,2.5
2,1,8.34,1,N,230,196,2,25,0.5,0.5,0,0,0.3,28.8,2.5
1,1,0,1,N,188,164,1,28.2,0,0.5,0,0,0.3,29,0
1,1,0.7,1,N,48,48,1,4,3,0.5,1.55,0,0.3,9.35,2.5
1,1,2.1,1,N,48,234,2,8.5,3,0.5,0,0,0.3,12.3,2.5
2,2,16.77,1,N,168,76,2,45,0.5,0.5,0,6.12,0.3,52.42,0
2,1,1.66,1,N,166,42,2,7.5,0.5,0.5,0,0,0.3,8.8,0
1,1,7.2,1,N,263,261,1,23,3,0.5,5.35,0,0.3,32.15,2.5
2,1,2.95,1,N,65,88,2,11,0.5,0.5,0,0,0.3,14.8,2.5
1,1,8.3,1,N,79,72,2,27.5,3,0.5,0,0,0.3,31.3,2.5
2,1,0.31,1,N,244,244,2,3.5,0.5,0.5,0,0,0.3,4.8,0
2,1,5.4,1,N,161,87,2,18,0.5,0.5,0,0,0.3,21.8,2.5
2,1,0.87,1,N,48,48,1,5,0.5,0.5,1.76,0,0.3,10.56,2.5
